Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the state of the NA server?,What do you think about the NA pace compared to others servers?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Do you think Aniplex and DW care about the F2P NA player and fanbase?,Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you used more SQ than expected for one servant?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)"
17/02/2019 4:48:50,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Ryougi Shiki, Miyamoto Musashi","Gilgamesh, Ishtar","Karna, Enkidu",Ozymandias,"Tamamo-no-mae, Leonardo Da Vinci, Merlin","MHX, King Hassan",Vlad III,Jeanne D'arc,Edmond Dantes,Yes,Between 12 and 15 months,19,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Bedivere,Queen Medb,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:49:11,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Ryougi Shiki","Orion, Arjuna, Ishtar",Karna,Francis Drake,Zhuge Liang [El-Melloi II],King Hassan,Sakata Kintoki,,,Yes,More than 15 months,12,Yes,"Good, the content is released at a good pace","Bad, DW and Aniplex should do a better management of the NA server",NP Skip,HERCALESE!!11!!1!11!,that stupid 2* Pirate,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:49:59,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Nero Claudius [Bride]",Ishtar,,Queen Medb,"Illyasviel von Einzbern, Merlin",,,Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,10,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Nero Claudius (Bride),,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:50:14,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,,"Zhuge Liang [El-Melloi II], Xuanzang, Merlin",,Vlad III,,,Yes,More than 15 months,6,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Minamoto no Raiko,Edward Teach,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:50:36,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]","Arjuna, Artoria Pendragon [Archer], Ishtar",Scathach,Iskandar,Tamamo-no-mae,"Jack the Ripper, King Hassan",Vlad III,,Jeanne D'arc [Alter],No,More than 15 months,18,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,,,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:50:38,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride]",Orion,"Scathach, Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern","Jack the Ripper, King Hassan","Vlad III, Mysterious Heroine X (Alter)","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Yes,More than 15 months,40,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Mashu,Fionn Mac cumhaill,Female,,Between 21 and 40,,,,,"Yes, I did reroll for a 5*"
17/02/2019 4:50:47,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Artoria Pendragon [Archer],,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,Edmond Dantes,Yes,Between 6 and 12 months,,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",None,Nobu,Mash,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:50:51,F2P,"Nero Claudius [Bride], Miyamoto Musashi",,,,,,,,Jeanne D'arc [Alter],No,Between 6 and 12 months,3,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",None,Maybe,nitocris,boudica,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:51:34,F2P,,,"Scathach, Tamamo no Mae [Lancer]",,Merlin,,,,,No,Between 12 and 15 months,2,No,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Yes,Gilgamesh,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:51:48,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,,"Scathach, Tamamo no Mae [Lancer]",Ozymandias,Merlin,"Jack the Ripper, Cleopatra",,Jeanne D'arc,,No,Between 6 and 12 months,8,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Scathach ,Elizabeth,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:51:52,F2P,Mordred,,,,,,,,,No,Between 3 and 6 months,1,No,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",NP Skip,Yes,EMIYA,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:52:08,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,Artoria Pendragon [Lancer],Francis Drake,Xuanzang,,Florence Nightingale,,,No,Between 3 and 6 months,5,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Nero Bridee,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:52:42,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji","Gilgamesh, Orion, Nikola Tesla","Scathach, Karna, Artoria Pendragon [Lancer], Enkidu","Francis Drake, Queen Medb","Zhuge Liang [El-Melloi II], Merlin",,"Vlad III, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 Months,20,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",None,Scathach,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:52:46,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Ishtar,Tamamo no Mae [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Florence Nightingale,,,Yes,Between 6 and 12 months,8,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Both,Nitocris,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:52:48,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride], Miyamoto Musashi","Gilgamesh, Orion, Ishtar","Scathach, Tamamo no Mae [Lancer]","Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, Shuten Douji, Cleopatra, King Hassan","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],No,Between 12 and 15 months,36,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Jeanne Alter,Fionn,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:52:55,F2P,,Arjuna,"Karna, Enkidu",,,Jack the Ripper,,,,Yes,More than 15 months,7,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Maybe,Heracles,Sigurd,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:53:54,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Gilgamesh,,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Vlad III,,Edmond Dantes,Yes,More than 15 months,10,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Ryougi Shiki (Assassin),,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:54:05,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred",,Artoria Pendragon [Lancer],Francis Drake,Zhuge Liang [El-Melloi II],,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,,No,More than 15 months,10,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Asagami Fujino,Caster Gilles,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:54:28,F2P,Altera,"Gilgamesh, Orion",Enkidu,Francis Drake,,,Vlad III,,,No,More than 15 months,6,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Gilgamesh,Christopher Columbus,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:54:37,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,,"Scathach, Artoria Pendragon [Lancer]","Francis Drake, Queen Medb",Merlin,Cleopatra,Vlad III,Jeanne D'arc,,Yes,More than 15 months,9,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Lancer Artoria,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:55:23,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]","Gilgamesh, Orion, Artoria Pendragon [Archer]","Scathach, Tamamo no Mae [Lancer]",Francis Drake,Tamamo-no-mae,,"Vlad III, Cu Chulainn [Alter]","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],No,More than 15 Months,17,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:55:27,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tamamo-no-mae, Xuanzang",Jack the Ripper,Florence Nightingale,Jeanne D'arc,,No,Between 3 and 6 months,8,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Jeanne D'arc,Gilgamesh,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:55:28,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,Enkidu,Ozymandias,,Shuten Douji,,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,6,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,Jeanne Alter ,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:55:43,F2P,,Ishtar,,,,King Hassan,,,,,Between 1 and 3 months,2,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Ishtar,,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:56:21,F2P,"Mordred, Ryougi Shiki","Arjuna, Artoria Pendragon [Archer]",Brynhildr,Ozymandias,,,,,,No,Between 12 and 15 months,6,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,Maybe,Artoria Pendragon rider alter,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:56:28,F2P,Mordred,Gilgamesh,Tamamo no Mae [Lancer],,Merlin,"Cleopatra, King Hassan","Florence Nightingale, Mysterious Heroine X (Alter)",,,No,Between 3 and 6 months,8,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Auto-Play,Maybe,Mordred,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:57:12,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride]",Ishtar,"Scathach, Karna","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Merlin","Jack the Ripper, MHX","Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,30,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,"Okita and Mordred, can't decide",,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:57:17,F2P,,,,,,,,,,Yes,Between 3 and 6 months,0,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Fast, the content should be released slower",Auto-Play,No,EMIYA,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:57:18,F2P,Artoria Pendragon,,,,Merlin,,,,,No,Between 6 and 12 months,2,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,No,EMIYA,ASTOLFO,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:57:23,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Miyamoto Musashi","Orion, Ishtar",Tamamo no Mae [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",Shuten Douji,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,16,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Both,Murasaki Shikibu,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 4:58:06,F2P,Mordred,Gilgamesh,Karna,Iskandar,Illyasviel von Einzbern,King Hassan,Cu Chulainn [Alter],Amakusa Shirou,Jeanne D'arc [Alter],No,Less than 1 month,0,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Both,Maybe,Emiya Archer,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:14,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Mordred,Orion,Karna,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],"Cleopatra, King Hassan","Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,17,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Iskandar,Orion,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:28,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Miyamoto Musashi","Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Artoria Pendragon [Lancer], Enkidu","Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Cleopatra,"Vlad III, Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 Months,31,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Shiki,Vlad,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:34,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Altera,,,Ozymandias,Xuanzang,,Florence Nightingale,,,No,Between 6 and 12 months,7,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Ozymandias,Raikou,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:43,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miyamoto Musashi,Ishtar,Artoria Pendragon [Lancer],,Merlin,King Hassan,Mysterious Heroine X (Alter),Jeanne D'arc,,No,Between 3 and 6 months,11,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",,Jeanne D'arc [Alter],none,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:51,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",Arjuna,,Ozymandias,,,Florence Nightingale,,,Yes,Between 3 and 6 months,5,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Artoria alter,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:53,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Miyamoto Musashi",Artoria Pendragon [Archer],"Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Francis Drake, Queen Medb","Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin",,"Sakata Kintoki, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,26,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Raikou,Phantom,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2019 5:00:54,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Miyamoto Musashi",Artoria Pendragon [Archer],"Brynhildr, Tamamo no Mae [Lancer], Enkidu","Francis Drake, Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci",Cleopatra,"Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,,Yes,More than 15 months,23,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Nitocris,Chloe,Male,,,Between 21 and 40,,,,No
